arm,category,metric,n_scenarios,mean,ci95_low,ci95_high
A1,benign,recall,10,1.0,1.0,1.0
A1,ephemeral,recall,10,0.0,0.0,0.0
A1,low_and_slow,recall,12,0.0278,0.0,0.0833
A1,multi_stage_kill_chain,recall,15,0.0407,0.0167,0.0704
A1,single_domain,recall,12,0.0,0.0,0.0
A2,benign,recall,10,1.0,1.0,1.0
A2,ephemeral,recall,10,0.0667,0.0,0.1667
A2,low_and_slow,recall,12,0.0556,0.0,0.1389
A2,multi_stage_kill_chain,recall,15,0.0463,0.0222,0.0741
A2,single_domain,recall,12,0.0,0.0,0.0
A3,benign,recall,10,1.0,1.0,1.0
A3,ephemeral,recall,10,0.0333,0.0,0.1
A3,low_and_slow,recall,12,0.0556,0.0,0.1389
A3,multi_stage_kill_chain,recall,15,0.0222,0.0,0.05
A3,single_domain,recall,12,0.0278,0.0,0.0833
A4,benign,recall,10,1.0,1.0,1.0
A4,ephemeral,recall,10,0.8,0.5,1.0
A4,low_and_slow,recall,12,1.0,1.0,1.0
A4,multi_stage_kill_chain,recall,15,0.8667,0.7778,0.95
A4,single_domain,recall,12,1.0,1.0,1.0
